ID_107386	Der Kollege führte dem Neuen die Prozedur. Sie/die/diese war ziemlich komplex.
ID_106292	Die Klientin überwies der Detektivin den Betrag. Sie/die/diese war großzügig aufgerundet.
ID_107438	Der Schneider nähte dem Klienten die Jacke. Sie/die/diese fiel größer aus als gewollt.
ID_105973	Der Archäologe präsentierte der Museumsdirektorin den Fund. Sie/die/diese war sehr aufgeregt.
ID_106328	Die Friseurin erzählte dem Neukunden den Sonntagswitz. Sie/die/diese konnte dabei nicht aufhören, zu lachen.
ID_107586	Der Lieferant reichte der Floristin die Rechnung. Er/der/dieser war sehr gutaussehend.
ID_105903	Die Teenagerin verkaufte dem Freund den Ausweis. Sie/die/diese war bereits vorbestraft.
ID_107736	Die Verkäuferin lieh der Interessentin den Autoschlüssel. Er/der/dieser war defekt.
ID_107664	Der Türsteher verweigerte der Besucherin den Zutritt. Sie/die/diese war etwas unhöflich.
ID_107177	Der Onkel leitete der Nichte den Videoclip. Sie/die/diese mochte witzige Katzenvideos.
ID_106571	Die Schülerin zeigte dem Sitznachbarn die Formel. Er/der/dieser war nämlich immer sehr nett.
ID_107942	Die Arbeitgeberin zeigte dem Bewerber den Arbeitsvertrag. Sie/die/diese wirkte dabei sehr sympathisch.
ID_107525	Der Chef garantierte der Angestellten die Gehaltserhöhung. Er/der/dieser war nämlich sehr zufrieden.
ID_107125	Die Lehrerin kündigte dem Rektor die Pensionierung. Er/der/dieser war darüber etwas traurig.
ID_107879	Die Studentin stahl dem Dozenten den Laptop. Sie/die/diese hatte nämlich ernste Schwierigkeiten.
ID_105836	Die Künstlerin vererbte dem Musiker den Besitz. Sie/die/diese war sehr reich.
ID_107851	Die Vermieterin schickte der Mieterin den Mietvertrag. Er/der/dieser war präzise formuliert.
ID_106430	Der Autor widmete der Verlobten die Novelle. Er/der/dieser war nämlich sehr dankbar.
ID_107043	Der Hotelmanager beschaffte der Urlauberin die Massage. Er/der/dieser machte danach einen gestressten Eindruck.
ID_106047	Der Enkel malte der Großmutter den Garten. Sie/die/diese wurde schon am frühen Abend langsam müde.
ID_106183	Die Unternehmerin stellte der Bankangestellten den Kostenplan. Er/der/dieser war sorgfältig berechnet worden.
ID_106921	Der Vater kaufte der Tochter die Zuckerwatte. Er/der/dieser war heute gut gelaunt.
ID_107793	Die Wächterin hat der Schwägerin den Geheimcode. Er/der/dieser war allerdings lang und schwer zu merken.
ID_107496	Der Regisseur empfahl dem Schauspieler die Fernsehserie. Sie/die/diese handelte von einer lustigen Verwechslung.
ID_107238	Die Chirurgin besorgte dem Arzt die Stelle. Er/der/dieser brachte nützliche Kontakte mit.
ID_107302	Die Diebin entwendete dem Touristen die Handtasche. Er/der/dieser war danach sehr aggressiv.
ID_106384	Die Krankenpflegerin wusch dem Patienten den Rücken. Sie/die/diese kannte die Routine mittlerweile.
ID_106777	Der Betrüger raubte dem König die Krone. Sie/die/diese war unfassbar wertvoll.
ID_106844	Der Anwalt erklärte dem Mandanten die Beweislage. Sie/die/diese war uneindeutig.
ID_106972	Der Lieferant baute der Kundin die Kommode. Er/der/dieser war dabei etwas ungeschickt.
ID_106234	Die Mitarbeiterin nahm der Opernsängerin den Mantel. Er/der/dieser war erfreulicherweise aus Kunstpelz.
ID_106701	Die Therapeutin gewöhnte dem Patienten die Marotte. Er/der/dieser war sehr dankbar.
ID_106642	Die Eigentümerin vermietete dem Anwohner die Parkfläche. Er/der/dieser war froh über den langfristigen Vertrag.
ID_106514	Der Inhaber bot der Mitarbeiterin den Umzugswagen. Sie/die/diese wollte sich außerdem das Wochenende frei nehmen.
ID_106098	Der Käufer schuldete der Händlerin den Kaufpreis. Sie/die/diese war telefonisch nicht erreichbar.
ID_106896	Der Gastgeber organisierte dem Redner die Hotelsuite. Sie/die/diese war frisch renoviert.
