ID_100424	Den Assistenten will der Vorgesetzte suchen. Der hat	einen Urlaub.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	'Auf ""Assistenten"''
ID_100452	Den Geschäftsmann will der Steuerberater warnen. Dieser ist	von Betrugsversuchen bedroht. (oder: von einer Steuerfahndung bedroht, je nach Kontext)	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Steuerberater"
ID_100438	Den Buchhalter soll der Auszubildende sehen. Der hat	die Aufgaben des Buchhalters.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	'Auf ""Auszubildende"' (es handelt sich um den Genitiv, also ""des Auszubildenden"", der Besitzer des Gegenstands ist)'
ID_100508	Den Unruhestifter will der Bäckermeister melden. Er ist	ein Jugendlicher.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	'Auf ""Jugendliche"' (denn es handelt sich um einen bestimmten, im Text genannten Jugendlichen)'
ID_100445	Den Besucher will der Abiturient erschrecken. Dieser ist	ein Spuk, ein Geist. (Es handelt sich um eine Überraschung im Sinne einer Fright-Praxis)	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Spuk, ein Geist" (also auf den Besucher)
ID_100487	Den Kameraden will der Soldat überraschen. Er ist	heimlich in die Kaserne eingedrungen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Soldat"
ID_100641	Der Ober soll den Koch loben. Er hat	gut gekocht.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	'Auf ""Koch"''
ID_100564	Der Künstler will den Politiker zeichnen. Der ist	Politiker. (In diesem Fall bezieht sich "der" auf den Politiker, der in der vorhergehenden Aussage genannt wurde.)	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Künstler sein Zielobjekt" (Der Künstler will den Politiker zeichnen, also bezieht sich "der" auf den Politiker, den der Künstler malen möchte).
ID_100571	Der Manager soll den Bewerber einstellen. Dieser hat	keine Erfahrung.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	'Auf ""Bewerber"''
ID_100620	Der Schüler will den Direktor begrüßen. Er hat	einen Grußparoli (Grußformel) mitgebracht.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Schüler"
ID_100431	Den Klassensprecher will der Lehrer loben. Der hat	sehr gute Noten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Klassensprecher"
ID_100648	Der Doktorand soll den Professor vertreten. Er hat	keine Erfahrung in der Vertretung.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	'Auf ""Doktorand"', also denjenigen, der den Professor vertreten soll.'
ID_100613	Der Komödiant will den Clown einladen. Er hat	ihn nicht gesehen. (Er = Der Komödiant, der den Clown nicht gesehen hat)	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Komödiant"
ID_100599	Der Regisseur will den Schauspieler unterstützen. Dieser hat	Probleme mit seiner Rolle.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	'Auf ""Schauspieler"''
ID_100459	Den Fachmann will der Kunde aufsuchen. Dieser ist	in seinem Büro.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	'Auf ""Fachmann"''
ID_100550	Der Passant soll den Ordnungshüter informieren. Der ist	von Dienst abgewichen. (Der Ordnungshüter)	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Ordnungshüter"
ID_100417	Den Sieger will der Trainer ehren. Der hat	den Titel gewonnen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Sieger"
ID_100501	Den Angestellten will der Wachmann retten. Er ist	in Not.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Wachmann", das wäre ein Fehler, da der Wachmann selbst handelt. Richtig wäre: Auf "Angestellten".
ID_100578	Der Vater will den Sohn küssen. Dieser hat	Angst davor. (oder: wehrt sich dagegen, oder: schreckt zurück)	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	'Auf ""Sohn"''
ID_100585	Der Arzt will den Patienten untersuchen. Dieser hat	Schmerzen. (oder eine andere Verletzung, aber Schmerzen sind ein möglicher Grund für die Untersuchung)	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Patienten"
ID_100543	Der Busfahrer will den Reiseleiter wecken. Der ist	schlafend.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	'Auf ""Busfahrer"'\"'s Ziel"' (Reiseleiter) - Es handelt sich um eine Anapher, ein pronominelles Ersetzen eines vorhergehenden Nominativs.'
ID_100403	Den Star will der Bodyguard verstecken. Der hat	einen hohen Bekanntheitsgrad.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Star"
ID_100466	Den Kranken soll der Samariter pflegen. Dieser ist	krank. (Das "Dieser" bezieht sich auf den Samariter, der nicht in der Lage ist, den Kranken zu pflegen)	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Samariter.
ID_100557	Der Verkäufer soll den Dieb anzeigen. Der ist	ein Kunde nicht mehr. (Der Dieb war ein Kunde, der im Laden gestohlen hat)	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Dieb"
ID_100494	Den Maler will der Mieter bezahlen. Er ist	schuldig mit der Reparatur des Zimmers.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Maler"
ID_100480	Den Anfänger will der Fahrer überholen. Dieser ist	unerfahren.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	'Auf ""Anfänger"''
ID_100473	Den Gast soll der Kellner bedienen. Dieser ist	ein Mann. (oder: ein Kellner, je nach Kontext)	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Kellner"
ID_100529	Der Anwalt will den Angeklagten kontrollieren. Der ist	unter Vorschriftsgeldstrafe ausgeliefert worden. (Nein, das ist nicht der Fall, da "Der" sich auf den Anwalt bezieht, nicht auf den Angeklagten.)	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf den Anwalt.
ID_100515	Den Verletzten muss der Sanitäter tragen. Er ist	von einem Auto angefahren worden. (In diesem Fall bezieht sich "Er" auf den Verletzten)	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Ich sehe, was ich gemacht habe!
ID_100606	Der Babysitter will den Jungen tadeln. Dieser hat	seine Spielzeuge im Flur verstreut.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Jungen"
ID_100522	Den Hausmeister soll der Pförtner benachrichtigen. Er ist	auswärts. (Er bezieht sich auf den Hausmeister)	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Hausmeister.
ID_100536	Der Sekretär will den Chef stören. Der ist	im Meeting.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	'Auf ""Sekretär"' (es handelt sich um den Chef, auf den der Sekretär es abgesehen hat)'
