ID_104049	Die Gastgeberin organisierte dem Redner die Hotelsuite. Sie/die/diese freute sich über den Besuch.
ID_104983	Der Lieferant reichte der Floristin die Rechnung. Sie/die/diese war sehr gutaussehend.
ID_104639	Der Schüler zeigte der Sitznachbarin die Formel. Sie/die/diese war nämlich immer sehr nett.
ID_105414	Die Betrügerin raubte der Königin die Krone. Sie/die/diese war unfassbar wertvoll.
ID_105548	Der Onkel leitete dem Neffen den Videoclip. Er/der/dieser zeigte eine Katze und eine Gurke.
ID_103849	Der Klient überwies der Detektivin den Betrag. Er/der/dieser war dabei sehr diskret.
ID_104583	Die Krankenpflegerin wusch dem Patienten den Rücken. Er/der/dieser kannte die Routine mittlerweile.
ID_104798	Der Hotelmanager beschaffte der Urlauberin die Massage. Sie/die/diese machte nämlich einen gestressten Eindruck.
ID_104378	Der Student stahl der Dozentin den Laptop. Er/der/dieser hatte nämlich ernste Schwierigkeiten.
ID_104605	Der Autor widmete der Verlobten die Novelle. Sie/die/diese war dafür sehr dankbar.
ID_105736	Der Verkäufer lieh dem Interessenten den Autoschlüssel. Er/der/dieser war defekt.
ID_104241	Die Regisseurin empfahl dem Schauspieler die Fernsehserie. Sie/die/diese sah gern Komödien.
ID_105398	Die Therapeutin gewöhnte der Patientin die Marotte. Sie/die/diese hatte bereits gefährliche Folgen.
ID_104822	Der Lehrer kündigte der Rektorin die Pensionierung. Sie/die/diese war darüber etwas traurig.
ID_103822	Der Mitarbeiter nahm der Opernsängerin den Mantel. Er/der/dieser fand das angemessen.
ID_104786	Der Lieferant baute der Kundin die Kommode. Sie/die/diese war nämlich etwas ungeschickt.
ID_104462	Die Archäologin präsentierte dem Museumsdirektor den Fund. Er/der/dieser war sehr aufgeregt.
ID_105107	Die Arbeitgeberin zeigte dem Bewerber den Arbeitsvertrag. Er/der/dieser wirkte dabei sehr sympathisch.
ID_103804	Der Mitarbeiter nahm der Opernsängerin den Mantel. Er/der/dieser fand das angemessen.
ID_105572	Die Chirurgin besorgte der Ärztin die Stelle. Sie/die/diese war sehr abwechslungsreich.
ID_105587	Die Diebin entwendete der Touristin die Handtasche. Sie/die/diese enthielt alle Wertsachen.
ID_104436	Die Teenagerin verkaufte dem Freund den Ausweis. Er/der/dieser war bereits vorbestraft.
ID_104226	Die Schneiderin nähte dem Klienten die Jacke. Sie/die/diese investierte viel Mühe.
ID_105175	Der Enkel malte dem Großvater den Garten. Er/der/dieser enthielt viele bunte Pflanzen.
ID_104020	Die Anwältin erklärte dem Mandanten die Beweislage. Sie/die/diese war wie immer perfekt vorbereitet.
ID_104415	Die Künstlerin vererbte dem Musiker den Besitz. Er/der/dieser war jetzt sehr reich.
ID_104267	Die Chefin garantierte dem Angestellten die Gehaltserhöhung. Sie/die/diese war nämlich sehr zufrieden.
ID_104070	Die Mutter kaufte dem Sohn die Zuckerwatte. Sie/die/diese war heute gut gelaunt.
ID_105715	Der Türsteher verweigerte dem Besucher den Zutritt. Er/der/dieser war leider nicht gestattet.
ID_103859	Der Friseur erzählte der Neukundin den Sonntagswitz. Er/der/dieser konnte dabei nicht aufhören, zu lachen.
ID_105609	Die Kollegin führte der Neuen die Prozedur. Sie/die/diese war ziemlich komplex.
ID_105202	Der Käufer schuldete dem Händler den Kaufpreis. Er/der/dieser lag im fünfstelligen Bereich.
ID_104623	Die Inhaberin bot dem Mitarbeiter den Umzugswagen. Er/der/dieser wollte sich außerdem das Wochenende frei nehmen.
ID_105385	Die Eigentümerin vermietete der Anwohnerin die Parkfläche. Sie/die/diese war glücklicherweise schattig.
ID_105218	Der Unternehmer stellte dem Bankangestellten den Kostenplan. Er/der/dieser war sorgfältig berechnet worden.
ID_104365	Der Vermieter schickte der Mieterin den Mietvertrag. Er/der/dieser hat aber vergessen, zu unterschreiben.
ID_104344	Der Wächter hat der Schwägerin den Geheimcode. Er/der/dieser war nämlich schon betrunken.
