ID_100500	Den Angestellten will der Wachmann retten. Er ist	Er ist in eine gefährliche Situation geraten.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Angestellten"
ID_100402	Den Star will der Bodyguard verstecken. Der hat	Der hat zu viele Fans und es gibt immer die Gefahr von Störungen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Bodyguard"
ID_100619	Der Schüler will den Direktor begrüßen. Er hat	Er hat seine Hausaufgaben fertiggestellt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Schüler"
ID_100458	Den Fachmann will der Kunde aufsuchen. Dieser ist	Dieser ist der besten Fachmann für das Projekt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Fachmann"
ID_100577	Der Vater will den Sohn küssen. Dieser hat	Diesen nicht seit Jahren gesehen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Vater"
ID_100640	Der Ober soll den Koch loben. Er hat	Er hat den besten Spaghetti-Sauce-Rezept gefunden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Koch"
ID_100612	Der Komödiant will den Clown einladen. Er hat	Er hat das bestellte Kleidungsstück erhalten.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Komödiant"
ID_100437	Den Buchhalter soll der Auszubildende sehen. Der hat	Der hat mit der Buchhaltung vertraut.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Buchhalter"
ID_100493	Den Maler will der Mieter bezahlen. Er ist	Er ist nicht zufrieden mit der Qualität des Malers Arbeit.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Malers Arbeit"
ID_100556	Der Verkäufer soll den Dieb anzeigen. Der ist	Der Dieb hat den Kunden überlistet.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Verkäufer"
ID_100507	Den Unruhestifter will der Bäckermeister melden. Er ist	Er hat das Geschirr aus der Schublade gestoßen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Unruhestifter"
ID_100626	Der Journalist soll den Abenteurer fotografieren. Er hat	Er hat bereits zahlreiche Abenteuer erlebt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Journalist"
ID_100605	Der Babysitter will den Jungen tadeln. Dieser hat	Diesen herausgefunden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Jungen"
ID_100479	Den Anfänger will der Fahrer überholen. Dieser ist	Dieser fährt langsam.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Anfänger"
ID_100647	Der Doktorand soll den Professor vertreten. Er hat	Er hat seine Abschlussarbeit nicht eingereicht.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Doktorand"
ID_100591	Der Student will den Dozenten treffen. Dieser hat	Diesen für die nächste Prüfung zugelassen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Dozenten"
ID_100486	Den Kameraden will der Soldat überraschen. Er ist	Er ist zuhause angekommen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Soldat"
ID_100633	Der Polizist will den Raser prüfen. Er hat	Er hat einen Suspekt erwischt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Suspekt"
ID_100563	Der Künstler will den Politiker zeichnen. Der ist	Der ist für seine politischen Überzeugungen bekannt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Künstler"
ID_100423	Den Assistenten will der Vorgesetzte suchen. Der hat	Der hat Probleme mit dem Computer.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Vorgesetzten"
ID_100549	Der Passant soll den Ordnungshüter informieren. Der ist	Der ist derjenige, der die Verstöße beobachtet hat.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Passant"
ID_100584	Der Arzt will den Patienten untersuchen. Dieser hat	Dieser hat sich unwohl gefühlt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Patienten"
ID_100409	Den Opa soll der Pfleger baden. Der hat	Der hat den Opa schon gestern baden lassen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Pfleger"
ID_100430	Den Klassensprecher will der Lehrer loben. Der hat	Der hat für seine ausgezeichnete Arbeit bei der Vorbereitung auf die Prüfung gelobt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Klassensprecher"
ID_100598	Der Regisseur will den Schauspieler unterstützen. Dieser hat	Diesen einen wichtigen Dialog vergessen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Schauspieler"
