ID_101115	Der Doktorand soll den Professor vertreten. Dieser hat	Dieser hat sich um sein Wohlbefinden gekümmert.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Professor"
ID_101075	Der Kellner soll den Gast bedienen. Der ist	Der ist hungrig und möchte etwas essen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Gast"
ID_101147	Der Auszubildende soll den Buchhalter sehen. Er hat	Er hat eine Frage zum Buchhaltungsprozess.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Auszubildenden.
ID_100971	Den Maler will der Mieter bezahlen. Dieser ist	Dieser ist ein sehr guter Maler, der für seine Arbeit eine hohe Qualität bietet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "der Maler" bezieht sich das "Dieser" im Satz.
ID_101187	Der Lehrer will den Klassensprecher loben. Er hat	Er hat in der letzten Klasse ausgezeichnete Leistungen gezeigt.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Klassensprecher bezieht sich das "Er" in dem ergänzten Satz.
ID_101155	Der Vorgesetzte will den Assistenten suchen. Er hat	Er hat einen wichtigen Termin, bei dem der Assistent ihm helfen soll.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Vorgesetzten.
ID_101035	Den Reiseleiter will der Busfahrer wecken. Er ist	Er ist eingeschlafen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Busfahrer.
ID_101027	Den Angeklagten will der Anwalt kontrollieren. Er ist	Er ist verdächtig in Bezug auf die Straftat.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Anwalt"
ID_100963	Den Verletzten muss der Sanitäter tragen. Dieser ist	Dieser ist von einem Auto angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Verletzten.
ID_101123	Der Journalist soll den Abenteurer fotografieren. Dieser hat	Dieser hat kürzlich eine Reise um die Welt unternommen und viele interessante Erfahrungen gesammelt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Abenteurer.
