"ID"	"EGLM_7b_t00_comp_Completion"	"EGLM_7b_t00_comp_Antecedens"	"EGLM_7b_t02_comp_Completion"	"EGLM_7b_t02_comp_Antecedens"	"EGLM_7b_t05_comp_Completion"	"EGLM_7b_t05_comp_Antecedens"	"EMG_70b_t00_comp_Completion"	"EMG_70b_t00_comp_Antecedens"	"EMG_70b_t05_comp_Completion"	"EMG_70b_t05_comp_Antecedens"	"GPT4_t05_comp_Completion"	"GPT4_t05_comp_Antecedens"	"SKLM_7b_t00_comp_Completion"	"SKLM_7b_t00_comp_Antecedens"	"SKLM_7b_t02_comp_Completion"	"SKLM_7b_t02_comp_Antecedens"	"SKLM_7b_t05_comp_Completion"	"SKLM_7b_t05_comp_Antecedens"
"1"	"ID_100001"	"eine wichtige Konferenz in London."	"Auf \"Professor\""	"eine wichtige Konferenz in London."	"Auf \"Professor\""	"eine wichtige Konferenz in London."	"Auf \"Professor\""	"Der hat eine Vorlesung."	"Auf \"Professor\""	"Der hat heute frei."	"Auf \"Professor\""	"Der hat überraschend eine Konferenz im Ausland besuchen müssen."	"Doktorand"	"Der hat eine Krankheit."	"Auf \"Doktorand\""	"Der hat einen Termin bei der Universität."	"Auf \"Doktorand\""	"Der hat einen Termin in der anderen Stadt."	"Auf \"Doktorand\""
"2"	"ID_100002"	"eine wichtige Konferenz in London."	"Professor"	"eine wichtige Konferenz in einer anderen Stadt."	"Professor"	"einen Termin bei einem Kongress in Paris."	"Professor"	"Der hat eine Vorlesung."	"Professor"	"Der hat eine Vorlesung."	"Professor"	"Der hat plötzlich eine Grippe bekommen."	"Doktorand"	"Der hat eine Krankheit."	"Doktorand"	"Der hat eine Krankheit."	"Doktorand"	"Der hat sich für die Prüfung vorbereitet."	"Doktorand"
"3"	"ID_100003"	"eine wichtige Konferenz in London."	"Professor"	"eine wichtige Konferenz in London."	"Professor"	"eine wichtige Konferenz in London."	"Professor"	"Der hat eine Vorlesung."	"Professor"	"Der hat die Vorlesung abgesagt."	"Professor"	"Der hat plötzlich eine Grippe und kann die Vorlesung nicht halten."	"Professor"	"Der hat eine Krankheit."	"Doktorand"	"Der hat einen Termin bei der Dekanin."	"Doktorand"	"Der hat einen Termin bei der Universität."	"Doktorand"
"4"	"ID_100004"	"eine wichtige Konferenz in London."	"Professor"	"eine wichtige Konferenz in London."	"Professor"	"einen schweren Autounfall gehabt."	"Professor"	"Der hat eine Vorlesung."	"Professor"	"Den Professor soll der Doktorand vertreten. Der hat eine wichtige Konferenz."	"Doktorand"	"Der hat plötzlich eine Grippe bekommen."	"Doktorand"	"Der hat eine Krankheit."	"Doktorand"	"Der hat eine Krankheit."	"Doktorand"	"Der hat einen Termin übernommen."	"Doktorand"
"5"	"ID_100005"	"eine wichtige Konferenz in London."	"Professor"	"eine wichtige Konferenz zu besuchen."	"Professor"	"einen Termin bei einem wichtigen Kunden."	"Professor"	"Der hat eine Vorlesung."	"Professor"	"Der hat das Seminar nicht vorbereitet."	"Doktorand"	"Der hat plötzlich eine Grippe bekommen."	"Doktorand"	"Der hat eine Krankheit."	"Doktorand"	"Der hat einen Termin bei der Dekanin."	"Doktorand"	"Der hat einen Termin in der Bibliothek."	"Doktorand"
"6"	"ID_100006"	"eine wichtige Konferenz in London."	"Professor"	"eine wichtige Konferenz in London."	"Professor"	"Er ist sehr gut in seinem Fachgebiet."	"Professor"	"Der hat eine Vorlesung."	"Professor"	"Der hat eine Einladung zum Vortrag erhalten."	"Doktorand"	"Der hat jedoch Lampenfieber, da es seine erste Vorlesung sein wird."	"Doktorand"	"Der hat eine Krankheit."	"Doktorand"	"Der hat einen Termin in der Stadt."	"Doktorand"	"Der hat einen Termin bei der Dekanin."	"Doktorand"
"7"	"ID_100007"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Auf \"Koch\""	"Der hat das Essen zubereitet."	"Auf \"Koch\""	"die Gäste mit seinem Essen zufriedengestellt."	"Auf \"Koch\""	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Auf \"Koch\""	"Den Koch soll der Ober loben. Der hat einen neuen Rezeptbuch gekauft."	"Auf \"Koch\""	"Der hat ein außergewöhnlich schmackhaftes Menü kreiert."	"Koch"	"Der hat eine exzellente Arbeit geleistet."	"Auf \"Koch\""	"Der hat eine ausgezeichnete Küche geleitet."	"Auf \"Koch\""	"Der hat eine ausgezeichnete Küchenfähigkeit gezeigt."	"Auf \"Koch\""
"8"	"ID_100008"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Der hat ein köstliches Essen zubereitet."	"Koch"	"Der hat das Essen zubereitet."	"Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Koch"	"Den Koch soll der Ober loben. Der hat die besten Burger in der Stadt gekocht."	"Koch"	"Der hat ein exquisites Fünf-Gänge-Menü zubereitet."	"Koch"	"Der hat eine exzellente Arbeit geleistet."	"Koch"	"Der hat eine ausgezeichnete Küchenfähigkeit gezeigt."	"Koch"	"Der hat einen wunderschönen Appetit."	"Koch"
"9"	"ID_100009"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Der hat ein köstliches Essen zubereitet."	"Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Koch"	"Den Koch soll der Ober loben. Der hat die besten Torten gebacken."	"Koch"	"Der hat ein exquisites Fünf-Gänge-Menü kreiert."	"Koch"	"Der hat eine exzellente Arbeit geleistet."	"Koch"	"Der hat eine fantastische Leistung gezeigt."	"Koch"	"Der hat das Essen perfekt zubereitet."	"Koch"
"10"	"ID_100010"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Die Suppe perfekt gewürzt."	"Koch"	"Der hat das Fleisch perfekt gebraten."	"Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Koch"	"Der hat das Restaurant gerettet."	"Koch"	"Der hat gerade ein exquisites Fünf-Gänge-Menü für einen sehr anspruchsvollen Gast zubereitet."	"Koch"	"Der hat eine exzellente Arbeit geleistet."	"Koch"	"Der hat einen tollen Job gemacht."	"Koch"	"Der hat eine herausragende Leistung gezeigt."	"Koch"
