ID_102750	Dem Butler hat der Gärtner missfallen. Er durfte	Der Gärtner durfte den Butler nicht missfallen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Gärtner"
ID_102882	Der Tourist hat dem Hotelier missfallen. Dieser war	Er war wütend auf ihn.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Hotelier.
ID_102874	Der Tourist hat dem Hotelier missfallen. Dieser war	Er war wütend auf ihn.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Hotelier.
ID_103058	Der Student hat dem Professor gefallen. Der hatte	Der Professor hat dem Studenten gefallen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Professor"
ID_102302	Der Schüler ist dem Lehrer aufgefallen. Dieser hatte	Das "Dieser" bezieht sich auf den Lehrer.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Lehrer, der dem Schüler aufgefallen ist.
ID_103326	Dem Journalisten hat der Politiker imponiert. Er wollte	Er wollte mehr über die politischen Ansichten des Politikers erfahren.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Journalisten"
ID_103638	Der Fußballspieler hat dem Trainer imponiert. Der konnte	Der Trainer hat dem Fußballspieler imponiert.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Fußballspieler.
ID_101774	Dem Kunden hat der Handwerker behagt. Dieser wollte	Das "Dieser" bezieht sich auf den Kunden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den Kunden, der mit dem Handwerker zufrieden war.
ID_101910	Der Reisende hat dem Piloten behagt. Der war	Der Reisende hat dem Piloten gefallen. Der war sehr freundlich und hilfsbereit.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Piloten"
ID_103510	Dem König hat der Ritter imponiert. Dieser hat	Dieser hat die Prinzessin gerettet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Ritter"
ID_102746	Dem Butler hat der Gärtner missfallen. Er durfte	Der Gärtner durfte den Butler nicht missfallen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Gärtner"
ID_102310	Der Schüler ist dem Lehrer aufgefallen. Dieser hatte	Das "Dieser" bezieht sich auf den Lehrer.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Lehrer, der dem Schüler aufgefallen ist.
ID_102346	Dem Leser ist der Autor aufgefallen. Dieser konnte	Es tut mir leid, aber ich verstehe nicht ganz, was Sie mit "Dem Leser ist der Autor aufgefallen" meinen. Könnten Sie bitte genauer erklären, worauf sich das bezieht?	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Das "Dieser" bezieht sich auf den Verletzten, der von einem Auto angefahren wurde.
ID_102486	Der Brandstifter ist dem Feuerwehrmann aufgefallen. Der hatte	Das "Er" bezieht sich auf den Brandstifter. Der Feuerwehrmann hatte den Brandstifter bemerkt, bevor er das Feuer legte.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Feuerwehrmann. Der Feuerwehrmann hatte den Brandstifter bemerkt, bevor er das Feuer legte.
ID_102306	Der Schüler ist dem Lehrer aufgefallen. Dieser hatte	Das "Dieser" bezieht sich auf den Lehrer.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Lehrer, der dem Schüler aufgefallen ist.
ID_102710	Der Autofahrer hat dem Polizisten missfallen. Er war	Er war zu schnell gefahren.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Autofahrer"
ID_101902	Der Reisende hat dem Piloten behagt. Der war	Der Reisende hat dem Piloten gefallen. Der war sehr freundlich und hilfsbereit.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Piloten"
ID_102926	Dem Zuhörer hat der Sänger gefallen. Dieser ist	Der Sänger.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Sänger.
ID_103274	Der Schmied hat dem Reiter gefallen. Er konnte	Der Schmied konnte den Reiter nicht tragen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Schmied"
ID_102298	Der Schüler ist dem Lehrer aufgefallen. Dieser hatte	Das "Dieser" bezieht sich auf den Lehrer.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Lehrer, der dem Schüler aufgefallen ist.
ID_103454	Der Arzt hat dem Patienten imponiert. Dieser ist	Das ist eine unvollständige Information. Es fehlt der Kontext, um zu verstehen, was mit "imponiert" gemeint ist und wer oder was dem Patienten imponierte.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Patienten, der dem Arzt imponiert hat.
ID_101946	Dem Zuhörer hat der Musiker behagt. Der konnte	Der konnte seinem Publikum gefallen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Musiker"
ID_102698	Der Autofahrer hat dem Polizisten missfallen. Er war	Er war zu schnell gefahren.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Autofahrer"
ID_102126	Der Bewerber hat dem Chef behagt. Er war	Der Bewerber hat dem Chef gefallen. Er war von seinen Fähigkeiten und seiner Persönlichkeit überzeugend.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Bewerber"
ID_103630	Der Fußballspieler hat dem Trainer imponiert. Der konnte	Der Trainer hat dem Fußballspieler imponiert.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Es bezieht sich auf den Fußballspieler.
ID_103106	Dem Papst hat der Pilger gefallen. Der war	Der Papst hat dem Pilger gefallen. Der war von seinem Besuch beeindruckt und bedankte sich bei ihm für die netten Worte und das Interesse an seiner Person.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Pilger, der dem Papst gefallen hat.
ID_101594	Dem Türsteher ist der Eindringling entgangen. Er hatte	Er hatte keine Zeit, ihn zu bemerken.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Türsteher"
ID_102134	Der Bewerber hat dem Chef behagt. Er war	Der Bewerber hat dem Chef gefallen. Er war von seinen Fähigkeiten und seiner Persönlichkeit überzeugend.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Bewerber"
