ID_104507	Die Käuferin schuldete dem Händler den Kaufpreis. Er/der/dieser war telefonisch nicht erreichbar.
ID_104107	Die Hotelmanagerin beschaffte dem Urlauber die Massage. Sie/die/diese machte danach einen gestressten Eindruck.
ID_104088	Die Lieferantin baute dem Kunden die Kommode. Sie/die/diese war dabei etwas ungeschickt.
ID_105415	Die Betrügerin raubte der Königin die Krone. Sie/die/diese war unfassbar wertvoll.
ID_103911	Die Autorin widmete dem Verlobten die Novelle. Sie/die/diese war nämlich sehr dankbar.
ID_104280	Die Lieferantin reichte dem Floristen die Rechnung. Sie/die/diese war sehr gutaussehend.
ID_105636	Die Schneiderin nähte der Klientin die Jacke. Sie/die/diese fiel größer aus als gewollt.
ID_105246	Der Klient überwies dem Detektiv den Betrag. Er/der/dieser war großzügig aufgerundet.
ID_103870	Der Friseur erzählte der Neukundin den Sonntagswitz. Er/der/dieser konnte dabei nicht aufhören, zu lachen.
ID_105241	Der Mitarbeiter nahm dem Opernsänger den Mantel. Er/der/dieser war erfreulicherweise aus Kunstpelz.
ID_104663	Der Eigentümer vermietete der Anwohnerin die Parkfläche. Sie/die/diese war froh über den langfristigen Vertrag.
ID_105784	Der Vermieter schickte dem Mieter den Mietvertrag. Er/der/dieser war präzise formuliert.
ID_105730	Der Verkäufer lieh dem Interessenten den Autoschlüssel. Er/der/dieser war defekt.
ID_105214	Der Unternehmer stellte dem Bankangestellten den Kostenplan. Er/der/dieser war sorgfältig berechnet worden.
ID_105616	Die Kollegin führte der Neuen die Prozedur. Sie/die/diese war ziemlich komplex.
ID_104404	Der Arbeitgeber zeigte der Bewerberin den Arbeitsvertrag. Er/der/dieser wirkte dabei sehr sympathisch.
ID_105656	Die Regisseurin empfahl der Schauspielerin die Fernsehserie. Sie/die/diese handelte von einer lustigen Verwechslung.
ID_104641	Der Schüler zeigte der Sitznachbarin die Formel. Sie/die/diese war nämlich immer sehr nett.
ID_104825	Der Lehrer kündigte der Rektorin die Pensionierung. Sie/die/diese war darüber etwas traurig.
ID_105448	Die Gastgeberin organisierte der Rednerin die Hotelsuite. Sie/die/diese war frisch renoviert.
ID_104371	Der Student stahl der Dozentin den Laptop. Er/der/dieser hatte nämlich ernste Schwierigkeiten.
ID_104264	Die Chefin garantierte dem Angestellten die Gehaltserhöhung. Sie/die/diese war nämlich sehr zufrieden.
ID_104990	Die Türsteherin verweigerte dem Besucher den Zutritt. Er/der/dieser war etwas unhöflich.
ID_104471	Die Enkelin malte dem Großvater den Garten. Er/der/dieser wurde schon am frühen Abend langsam müde.
ID_103883	Der Krankenpfleger wusch der Patientin den Rücken. Er/der/dieser kannte die Routine mittlerweile.
ID_104873	Der Dieb entwendete der Touristin die Handtasche. Sie/die/diese war danach sehr aggressiv.
ID_105437	Die Anwältin erklärte der Mandantin die Beweislage. Sie/die/diese war uneindeutig.
ID_104828	Die Tante leitete dem Neffen den Videoclip. Er/der/dieser mochte witzige Katzenvideos.
ID_104614	Die Inhaberin bot dem Mitarbeiter den Umzugswagen. Er/der/dieser wollte sich außerdem das Wochenende frei nehmen.
ID_104053	Die Mutter kaufte dem Sohn die Zuckerwatte. Sie/die/diese war heute gut gelaunt.
ID_104456	Die Archäologin präsentierte dem Museumsdirektor den Fund. Er/der/dieser war sehr aufgeregt.
ID_104668	Der Therapeut gewöhnte der Patientin die Marotte. Sie/die/diese war sehr dankbar.
ID_104853	Der Chirurg besorgte der Ärztin die Stelle. Sie/die/diese brachte nützliche Kontakte mit.
ID_105745	Der Wächter hat dem Schwager den Geheimcode. Er/der/dieser war allerdings lang und schwer zu merken.
ID_103688	Der Künstler vererbte der Musikerin den Besitz. Er/der/dieser war sehr reich.
ID_103699	Der Teenager verkaufte der Freundin den Ausweis. Er/der/dieser war bereits vorbestraft.
