ID_100074	Den Kranken soll der Samariter pflegen. Er ist	Er ist von einem Auto angefahren worden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Kranken"
ID_100044	Den Politiker will der Künstler zeichnen. Dieser ist	Dieser ist sehr berühmt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Politiker"
ID_100050	Den Ordnungshüter soll der Passant informieren. Dieser ist	Dieser ist von einem Auto angefahren worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Ordnungshüter.
ID_100206	Der Babysitter will den Jungen tadeln. Er hat	Er hat das Auto angefahren.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Jungen"
ID_100188	Der Arzt will den Patienten untersuchen. Er hat	Er hat Schmerzen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Patienten"
ID_100110	Der Soldat will den Kameraden überraschen. Der ist	Der ist in der Nähe des Bunkers.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Soldat"
ID_100146	Der Pfleger soll den Opa baden. Dieser hat	Dieser hat einen gebrochenen Arm und kann sich nicht selbstständig waschen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Opa"
ID_100122	Der Sanitäter muss den Verletzten tragen. Der ist	Der Verletzte ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Verletzte"
ID_100026	Den Direktor will der Schüler begrüßen. Der hat	Der hat einen Unfall gehabt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Direktor"
ID_100116	Der Pförtner soll den Hausmeister benachrichtigen. Der ist	Der Pförtner soll den Hausmeister benachrichtigen. Der ist von einem Auto angefahren worden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Hausmeister"
ID_100014	Den Abenteurer soll der Journalist fotografieren. Der hat	Der hat einen Helm auf.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Journalist"
ID_100176	Der Bodyguard will den Star verstecken. Dieser hat	Dieser hat einen Autounfall gehabt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Star.
ID_100092	Den Besucher will der Abiturient erschrecken. Er ist	Er ist von einem Auto angefahren worden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Besucher"
ID_100104	Den Geschäftsmann will der Steuerberater warnen. Er ist	Er ist von einer Betrugsmasche bedroht.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Geschäftsmann"
ID_100002	Den Professor soll der Doktorand vertreten. Der hat	Der hat keine Zeit.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Doktorand"
ID_100182	Der Vater will den Sohn küssen. Er hat	Er hat Angst, dass der Sohn ihn nicht mag.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Vater"
