ID_105173	Der Enkel malte dem Großvater den Garten. Er/der/dieser enthielt viele bunte Pflanzen.
ID_104028	Die Anwältin erklärte dem Mandanten die Beweislage. Sie/die/diese war wie immer perfekt vorbereitet.
ID_105141	Der Teenager verkaufte dem Freund den Ausweis. Er/der/dieser war gefälscht.
ID_105362	Die Schülerin zeigte der Sitznachbarin die Formel. Sie/die/diese war ziemlich kompliziert.
ID_105086	Die Studentin stahl dem Dozenten den Laptop. Er/der/dieser hatte dadurch ernste Schwierigkeiten.
ID_105112	Der Künstler vererbte dem Musiker den Besitz. Er/der/dieser bestand aus Geldwerten und Grundstücken.
ID_103790	Der Unternehmer stellte der Bankangestellten den Kostenplan. Er/der/dieser war dabei sehr konzentriert.
ID_105581	Die Chirurgin besorgte der Ärztin die Stelle. Sie/die/diese war sehr abwechslungsreich.
ID_104200	Die Kollegin führte dem Neuen die Prozedur. Sie/die/diese war dabei sehr sorgfältig.
ID_104575	Die Krankenpflegerin wusch dem Patienten den Rücken. Er/der/dieser kannte die Routine mittlerweile.
ID_104949	Der Regisseur empfahl der Schauspielerin die Fernsehserie. Sie/die/diese sah gern Komödien.
ID_103998	Die Betrügerin raubte dem König die Krone. Sie/die/diese war allerdings unvorsichtig.
ID_103759	Der Käufer schuldete der Händlerin den Kaufpreis. Er/der/dieser war telefonisch nicht erreichbar.
ID_105370	Die Eigentümerin vermietete der Anwohnerin die Parkfläche. Sie/die/diese war glücklicherweise schattig.
ID_105165	Der Archäologe präsentierte dem Museumsdirektor den Fund. Er/der/dieser war sensationell.
ID_105541	Die Lehrerin kündigte der Rektorin die Pensionierung. Sie/die/diese war schon lange geplant.
ID_104752	Der Vater kaufte der Tochter die Zuckerwatte. Sie/die/diese war umgehend gut gelaunt.
ID_105100	Die Arbeitgeberin zeigte dem Bewerber den Arbeitsvertrag. Er/der/dieser wirkte dabei sehr sympathisch.
ID_104780	Der Lieferant baute der Kundin die Kommode. Sie/die/diese war nämlich etwas ungeschickt.
ID_105347	Der Inhaber bot dem Mitarbeiter den Umzugswagen. Er/der/dieser war geräumig genug für alle Möbel.
ID_103986	Die Therapeutin gewöhnte dem Patienten die Marotte. Sie/die/diese war sehr bemüht.
ID_104333	Der Verkäufer lieh der Interessentin den Autoschlüssel. Er/der/dieser war voller Hoffnung.
ID_104531	Die Klientin überwies dem Detektiv den Betrag. Er/der/dieser war bekanntlich sehr diskret.
ID_104300	Der Türsteher verweigerte der Besucherin den Zutritt. Er/der/dieser war etwas unhöflich.
ID_104977	Der Lieferant reichte der Floristin die Rechnung. Sie/die/diese war sehr gutaussehend.
ID_104219	Die Schneiderin nähte dem Klienten die Jacke. Sie/die/diese investierte viel Mühe.
ID_104958	Der Chef garantierte der Angestellten die Gehaltserhöhung. Sie/die/diese war daraufhin sehr zufrieden.
ID_104336	Der Wächter hat der Schwägerin den Geheimcode. Er/der/dieser war nämlich schon betrunken.
ID_104553	Die Friseurin erzählte dem Neukunden den Sonntagswitz. Er/der/dieser konnte danach nicht aufhören, zu lachen.
ID_105317	Die Autorin widmete der Verlobten die Novelle. Sie/die/diese war ein Verkaufshit.
ID_105053	Die Vermieterin schickte dem Mieter den Mietvertrag. Er/der/dieser hat nämlich vergessen, zu unterschreiben.
ID_105558	Der Onkel leitete dem Neffen den Videoclip. Er/der/dieser zeigte eine Katze und eine Gurke.
ID_104748	Der Gastgeber organisierte der Rednerin die Hotelsuite. Sie/die/diese freute sich über die Einladung.
ID_105520	Die Hotelmanagerin beschaffte der Urlauberin die Massage. Sie/die/diese war sogar ermäßigt.
ID_103801	Der Mitarbeiter nahm der Opernsängerin den Mantel. Er/der/dieser fand das angemessen.
ID_103819	Der Mitarbeiter nahm der Opernsängerin den Mantel. Er/der/dieser fand das angemessen.
ID_104189	Die Diebin entwendete dem Touristen die Handtasche. Sie/die/diese war dabei sehr aggressiv.
